fold,fdr_q,stock_a,stock_b,Q_estimated,R_estimated
fold_10_202210_202303,0.2,DE,PH,0.0005095666935959033,5.625030166979738e-05
fold_11_202301_202306,0.2,BKNG,DRI,0.0005960943500534548,8.767104410808301e-05
fold_11_202301_202306,0.2,TXN,NXPI,0.0005149199133782418,4.7761085056208095e-05
fold_11_202301_202306,0.2,MCHP,NXPI,0.000528958445947445,7.179511716575949e-05
fold_11_202301_202306,0.2,JNJ,LLY,0.0005318210053706197,3.3368759115929746e-05
fold_11_202301_202306,0.2,CAT,PH,0.0005519221640980091,4.991571053817651e-05
fold_11_202301_202306,0.2,ORCL,INTU,0.0005156561395318682,6.207119498690757e-05
fold_11_202301_202306,0.2,JNJ,ABBV,0.0005359641368931073,3.7021947950070704e-05
fold_11_202301_202306,0.2,PNC,NTRS,0.0005415914108824697,4.806483580865477e-05
fold_11_202301_202306,0.2,BAC,NTRS,0.0005305759919832345,4.2385808277290417e-05
fold_11_202301_202306,0.2,PEP,COST,0.0005354520701760529,3.7014665296461675e-05
fold_11_202301_202306,0.2,NSC,PH,0.0005153730762966041,5.545535015478518e-05
fold_11_202301_202306,0.2,DE,PH,0.0005009998425046892,6.29341852028467e-05
fold_12_202304_202309,0.2,BAC,NTRS,0.0005286205344818506,4.2395114046273927e-05
fold_12_202304_202309,0.2,PEP,COST,0.0005352637764289346,3.597314194559774e-05
fold_12_202304_202309,0.2,PNC,NTRS,0.0005392553177094591,4.825362907734419e-05
fold_12_202304_202309,0.2,MCHP,NXPI,0.000530527572767681,6.801330743727005e-05
fold_12_202304_202309,0.2,TXN,NXPI,0.000517399778005625,4.6980264455669326e-05
fold_12_202304_202309,0.2,ORCL,INTU,0.0005168521774221936,6.344279111594462e-05
fold_12_202304_202309,0.2,NTRS,XLF,0.0005357762640424336,3.2569495797082005e-05
fold_12_202304_202309,0.2,JNJ,ABBV,0.0005400114092692259,3.678107092208755e-05
fold_12_202304_202309,0.2,UNP,UPS,0.0005412990875679768,6.206025031010557e-05
fold_12_202304_202309,0.2,CAT,PH,0.0005643380898165719,5.061964537432329e-05
fold_12_202304_202309,0.2,PG,STZ,0.0005477087903853308,4.8415229273567637e-05
fold_12_202304_202309,0.2,MDLZ,STZ,0.0005284682723287,4.393044193734184e-05
fold_12_202304_202309,0.2,CMCSA,IYZ,0.0005044400968800524,4.202419085780821e-05
fold_13_202307_202312,0.2,MDLZ,XLP,0.0005018433615437609,1.6945851783425468e-05
fold_13_202307_202312,0.2,UNP,UPS,0.0005501527908132668,6.260976176062819e-05
fold_13_202307_202312,0.2,NSC,PH,0.0005258755292808495,5.318524659633814e-05
fold_13_202307_202312,0.2,JNJ,ABBV,0.0005495385521945504,3.3777048650264324e-05
fold_13_202307_202312,0.2,TXN,NXPI,0.0005295911295280632,4.4923636538610026e-05
fold_13_202307_202312,0.2,BAC,PNC,0.0005120364655178681,3.170001789873937e-05
fold_13_202307_202312,0.2,CAT,PH,0.0005440193926298934,5.0064825665095146e-05
fold_13_202307_202312,0.2,TXN,MCHP,0.0005110502085449106,3.2745021058727874e-05
fold_13_202307_202312,0.2,KO,HSY,0.000535410035677334,3.671236653322056e-05
fold_13_202307_202312,0.2,NSC,CSX,0.0004900694937766409,2.3031951889164107e-05
fold_14_202310_202403,0.2,BAC,PNC,0.0005114692333507679,3.2499521002764906e-05
fold_14_202310_202403,0.2,INTU,ACN,0.00051577251426698,6.921382959804491e-05
fold_14_202310_202403,0.2,TXN,MCHP,0.0005187884939771556,3.253787355626971e-05
fold_14_202310_202403,0.2,TXN,NXPI,0.0005387323846329555,4.286769052586791e-05
fold_14_202310_202403,0.2,CAT,PH,0.0005458227164403386,4.855879845901865e-05
fold_14_202310_202403,0.2,UNP,UPS,0.0005576392290662209,6.322134631153833e-05
fold_14_202310_202403,0.2,BAC,NTRS,0.0005385164341318779,4.229940486858655e-05
fold_14_202310_202403,0.2,DE,PH,0.0005094818254832248,6.39671856172061e-05
fold_14_202310_202403,0.2,COST,XLP,0.000516493734791038,3.108585846692108e-05
fold_14_202310_202403,0.2,PNC,NTRS,0.0005519547983420627,5.071767122048155e-05
fold_15_202401_202406,0.2,UPS,CSX,0.0005301224150570312,6.344983313124492e-05
fold_15_202401_202406,0.2,AMGN,CI,0.0005395579803450547,5.6185397101393074e-05
fold_15_202401_202406,0.2,ADI,KLAC,0.0005420917984437911,5.551683037453607e-05
fold_15_202401_202406,0.2,BAC,PNC,0.0005173243385348799,3.4145896179731315e-05
fold_15_202401_202406,0.2,CAT,PH,0.0005526396704766914,5.0221830410195325e-05
fold_16_202404_202409,0.2,BAC,PNC,0.0005208830401188511,3.421922163440179e-05
fold_16_202404_202409,0.2,LRCX,NXPI,0.0005429679798533384,9.194976935475769e-05
fold_16_202404_202409,0.2,USB,NTRS,0.000547232135212363,6.431107433012699e-05
fold_16_202404_202409,0.2,INTU,ACN,0.0005322579265087908,7.486570174718137e-05
fold_16_202404_202409,0.2,KEY,NTRS,0.0005535877922856954,0.00011415990359364788
fold_16_202404_202409,0.2,CAT,PH,0.0005613809841714639,5.1007974682610814e-05
fold_16_202404_202409,0.2,UNP,UPS,0.0005815652973145358,6.203810147011592e-05
fold_16_202404_202409,0.2,UPS,CSX,0.000531433483488573,6.24982551017062e-05
fold_16_202404_202409,0.2,MA,BR,0.0005321690990736183,6.711714221690157e-05
fold_16_202404_202409,0.2,AMD,MRVL,0.000551811377187576,0.0001313979235017325
